field_1	heap
field_10502	CONDUIT
field_10503	OAK_LEAVES
field_10504	BOOKSHELF
field_10505	PURPUR_PILLAR
field_10506	BLACK_CONCRETE_POWDER
field_10507	DIORITE_SLAB
field_10508	DIORITE
field_10509	CREEPER_WALL_HEAD
field_1051	OBFUSCATED
field_10510	PURPLE_CARPET
field_10511	BIRCH_LOG
field_10512	YELLOW_CARPET
field_10513	BIRCH_FENCE_GATE
field_10514	BLUE_WOOL
field_10515	NETHERRACK
field_10516	FIRE_CORAL_BLOCK
field_10517	DIORITE_WALL
field_10518	CUT_RED_SANDSTONE
field_10519	STRIPPED_OAK_LOG
field_1052	FORMATTING_BY_NAME
field_10520	PODZOL
field_10521	SPRUCE_DOOR
field_10522	PINK_CONCRETE_POWDER
field_10523	REDSTONE_TORCH
field_10524	REDSTONE_LAMP
field_10525	COMMAND_BLOCK
field_10526	GREEN_TERRACOTTA
field_10527	BLUE_BED
field_10528	CHORUS_FLOWER
field_10529	GREEN_CONCRETE_POWDER
field_1053	color
field_10530	PRISMARINE_WALL
field_10531	PINK_WALL_BANNER
field_10532	CYAN_SHULKER_BOX
field_10533	ACACIA_LOG
field_10534	RED_SAND
field_10535	ANVIL
field_10536	RED_CARPET
field_10537	BLACK_WALL_BANNER
field_10538	MAGENTA_GLAZED_TERRACOTTA
field_10539	BIRCH_LEAVES
field_1054	YELLOW
field_10540	OBSIDIAN
field_10541	NETHER_WART_BLOCK
field_10542	YELLOW_CONCRETE
field_10543	CAVE_AIR
field_10544	JUNGLE_SIGN
field_10545	MELON
field_10546	ACTIVATOR_RAIL
field_10547	YELLOW_BANNER
field_10548	LILY_OF_THE_VALLEY
field_10549	SMOOTH_SANDSTONE_STAIRS
field_1055	STRIKETHROUGH
field_10550	BLUE_GLAZED_TERRACOTTA
field_10551	FIRE_CORAL_FAN
field_10552	CHISELED_STONE_BRICKS
field_10553	JUNGLE_BUTTON
field_10554	OXEYE_DAISY
field_10555	GRAY_STAINED_GLASS
field_10556	MUSHROOM_STEM
field_10557	DEAD_FIRE_CORAL_WALL_FAN
field_10558	STRIPPED_SPRUCE_WOOD
field_10559	RED_MUSHROOM
field_1056	ITALIC
field_10560	PISTON
field_10561	GREEN_BED
field_10562	WET_SPONGE
field_10563	OAK_STAIRS
field_10564	POTTED_ACACIA_SAPLING
field_10565	PINK_STAINED_GLASS_PANE
field_10566	DIRT
field_10567	PINK_GLAZED_TERRACOTTA
field_10568	DEAD_FIRE_CORAL_FAN
field_10569	SPRUCE_STAIRS
field_1057	name
field_10570	PURPLE_TERRACOTTA
field_10571	GOLD_ORE
field_10572	DEAD_BRAIN_CORAL
field_10573	AZURE_BLUET
field_10574	MAGENTA_STAINED_GLASS
field_10575	BIRCH_SAPLING
field_10576	IRON_BARS
field_10577	POTTED_BIRCH_SAPLING
field_10578	YELLOW_STAINED_GLASS_PANE
field_10579	DEAD_FIRE_CORAL
field_1058	DARK_BLUE
field_10580	BROWN_MUSHROOM_BLOCK
field_10581	ZOMBIE_WALL_HEAD
field_10582	HEAVY_WEIGHTED_PRESSURE_PLATE
field_10583	SUNFLOWER
field_10584	TUBE_CORAL_WALL_FAN
field_10585	MAGENTA_CONCRETE
field_10586	POTTED_BAMBOO
field_10587	JUNGLE_WALL_SIGN
field_10588	LILY_PAD
field_10589	TRIPWIRE
field_1059	code
field_10590	LIGHT_GRAY_TERRACOTTA
field_10591	GRAY_CARPET
field_10592	BIRCH_PRESSURE_PLATE
